1 2 3 4 5 6 7 8 
9 0 1 2 3 4 5 6 
7 8 9 0 1 2 3 4 
5 6 7 8 9 0 1 2 
3 4 5 6 7 8 9 0  
9 8 7 6 5 4 3 1 
0 9 8 7 6 5 4 3 
2 1 0 1 2 3 4 5  

2 3 4 5 6 7 8 9
6 5 4 3 2 1 0 1
4 3 2 1 0 9 8 7
8 9 0 9 8 7 6 5
0 1 2 3 4 5 6 7
8 7 6 5 4 3 2 1
4 5 6 7 8 9 0 9
6 7 8 9 0 1 2 3

6 7 8 9 0 1 2 3 
4 5 6 7 8 9 0 9 
8 7 6 5 4 3 2 1 
0 1 2 3 4 5 6 7 
8 9 0 9 8 7 6 5 
4 3 2 1 0 9 8 7 
6 5 4 3 2 1 0 1 
2 3 4 5 6 7 8 9 

2 1 0 1 2 3 4 5
0 9 8 7 6 5 4 3
9 8 7 6 5 4 3 1
3 4 5 6 7 8 9 0
5 6 7 8 9 0 1 2
7 8 9 0 1 2 3 4
9 0 1 2 3 4 5 6
1 2 3 4 5 6 7 8
